paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime
2,a,anti-FVII mAb,aex,Separon HemaBio 1000Q,8.6608,0.11546277480140403,13.961
2,a,anti-FVII mAb,aex,Separon HemaBio 1000Q,7.8625,0.1271860095389507,6.614
2,a,anti-FVII mAb,aex,Separon HemaBio 1000Q,7.2991,0.13700319217437765,2.8338
2,a,anti-FVII mAb,aex,Separon HemaBio 1000Q,6.7749,0.14760365466648956,1.0758
2,a,anti-FVII mAb,aex,Separon HemaBio 1000Q,5.9439,0.168239707935867,0.38419
2,a,anti-FVII mAb,aex,Toyopearl QAE 550c,4.3476,0.23001196062195234,1.6682
2,a,anti-FVII mAb,aex,Toyopearl QAE 550c,3.9683,0.2519970768339087,0.6864
2,a,anti-FVII mAb,aex,Toyopearl QAE 550c,3.6024,0.27759271596713303,0.31869
2,a,anti-FVII mAb,aex,Toyopearl QAE 550c,3.3071,0.3023797284630038,0.14214
2,a,anti-FVII mAb,aex,Toyopearl QAE 550c,3.0538,0.3274608684262231,0.0745
2,a,anti-FVII mAb,aex,Toyopearl SuperQ 650c,10.2567,0.09749724570280889,18.548
2,a,anti-FVII mAb,aex,Toyopearl SuperQ 650c,9.7842,0.10220559677847958,4.2549
2,a,anti-FVII mAb,aex,Toyopearl SuperQ 650c,9.2392,0.1082344791756862,2.0578
2,a,anti-FVII mAb,aex,Toyopearl SuperQ 650c,8.8249,0.11331573162302123,1.1233
2,a,anti-FVII mAb,aex,Toyopearl SuperQ 650c,8.4301,0.11862255489258729,0.6647
2,a,anti-FVII mAb,aex,Toyopearl SuperQ 650c,7.7803,0.12852974821022325,0.24235
2,a,anti-FVII mAb,aex,Toyopearl SuperQ 650c,7.296,0.1370614035087719,0.047304
2,a,anti-FVII mAb,aex,UNO Q-1,7.3574,0.13591757957974285,13.658
2,a,anti-FVII mAb,aex,UNO Q-1,6.7981,0.14709992497903826,10.932
2,a,anti-FVII mAb,aex,UNO Q-1,5.9584,0.16783029001074112,2.007
2,a,anti-FVII mAb,aex,UNO Q-1,5.6934,0.17564197140548707,1.4239
2,a,anti-FVII mAb,aex,UNO Q-1,4.9391,0.20246603632240692,0.49831
2,a,anti-FVII mAb,aex,UNO Q-1,4.4853,0.22295052727799702,0.2947
2,b,aprotinin,aex,Poros 50 HQ,32.577,0.030696503668232192,0.5893
2,b,aprotinin,aex,Poros 50 HQ,24.687,0.04050714951188884,0.38619
2,b,aprotinin,aex,Poros 50 HQ,16.424,0.06088650754992694,0.20279
2,b,aprotinin,aex,Poros 50 HQ,12.3038,0.08127570344121328,0.12011
2,b,aprotinin,aex,Q Sepharose HP,24.574,0.040693415805322694,0.6156
2,b,aprotinin,aex,Q Sepharose HP,19.807,0.050487201494421166,0.34279
2,b,aprotinin,aex,Q Sepharose HP,16.4269,0.060875758664142354,0.21992
2,b,aprotinin,aex,Q Sepharose HP,14.0867,0.07098894702094884,0.11752
2,b,aprotinin,aex,Q Sepharose HP,10.97,0.09115770282588878,0.0503
2,b,aprotinin,aex,Q Sepharose HP,8.9861,0.11128298149364017,0.019843
2,b,aprotinin,aex,Q Sepharose XL,16.2544,0.061521803327099125,3.8327
2,b,aprotinin,aex,Q Sepharose XL,14.0886,0.07097937339409167,1.5735
2,b,aprotinin,aex,Q Sepharose XL,12.3567,0.08092775579240412,0.8238
2,b,aprotinin,aex,Q Sepharose XL,11.0276,0.09068156262468716,0.5281
2,b,aprotinin,aex,Q Sepharose XL,9.8948,0.10106318470307636,0.30586
2,b,aprotinin,aex,Q Sepharose XL,9.0835,0.11008972312434634,0.20002
2,b,aprotinin,aex,Q Sepharose XL,8.2918,0.12060107576159579,0.13081
2,b,aprotinin,aex,Q-Cellthru Bigbeads Plus,19.669,0.050841425593573644,2.3514
2,b,aprotinin,aex,Q-Cellthru Bigbeads Plus,16.4099,0.060938823515073216,1.7384
2,b,aprotinin,aex,Q-Cellthru Bigbeads Plus,12.3589,0.08091334989359894,0.8933
2,b,aprotinin,aex,Separon HemaBio 1000Q,10.9973,0.0909314104371073,24.345
2,b,aprotinin,aex,Separon HemaBio 1000Q,9.9589,0.10041269618130516,5.55
2,b,aprotinin,aex,Separon HemaBio 1000Q,9.0917,0.10999043083251758,3.7798
2,b,aprotinin,aex,Separon HemaBio 1000Q,8.2474,0.12125033343841694,1.8614
2,b,aprotinin,aex,Separon HemaBio 1000Q,7.793,0.12832028743744386,1.6493
2,b,aprotinin,aex,Separon HemaBio 1000Q,6.6407,0.15058653455208035,0.6503
2,b,aprotinin,aex,Toyopearl QAE 550c,19.774,0.050571457469404266,2.0402
2,b,aprotinin,aex,Toyopearl QAE 550c,14.1402,0.07072035756212783,0.6449
2,b,aprotinin,aex,Toyopearl QAE 550c,11.0057,0.09086200786864988,0.21646
2,b,aprotinin,aex,Toyopearl QAE 550c,8.9573,0.11164078461143424,0.05929
2,b,aprotinin,aex,UNO Q-1,27.944,0.035785857429144,0.35563
2,b,aprotinin,aex,UNO Q-1,24.532,0.040763084950269035,0.28496
2,b,aprotinin,aex,UNO Q-1,19.675,0.05082592121982211,0.21508
2,b,aprotinin,aex,UNO Q-1,17.855,0.056006720806496775,0.12711
2,b,aprotinin,aex,UNO Q-1,12.196,0.0819940964250574,0.029068
2,c,lipolase,aex,Poros 50 HQ,6.5443,0.15280473083446663,5.064
2,c,lipolase,aex,Poros 50 HQ,4.9148,0.2034670790266135,0.8657
2,c,lipolase,aex,Poros 50 HQ,4.3693,0.22886961298148445,0.50339
2,c,lipolase,aex,Poros 50 HQ,3.5908,0.2784894730979169,0.18082
2,c,lipolase,aex,Poros 50 HQ,3.0355,0.3294350189425136,0.08602
2,c,lipolase,aex,Q Sepharose HP,6.7698,0.14771485125114478,7.123
2,c,lipolase,aex,Q Sepharose HP,6.3644,0.15712400226258563,4.8641
2,c,lipolase,aex,Q Sepharose HP,5.9489,0.16809830388811375,2.9451
2,c,lipolase,aex,Q Sepharose HP,5.6239,0.1778125500097797,2.0113
2,c,lipolase,aex,Q Sepharose HP,5.2876,0.18912171873817987,1.4883
